,business_id,cool,date,funny,review_id,stars,text,useful,user_id,score
0,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-02-25 00:00:00.000000,0,x7mDIiDB3jEiPGPHOmDzyw,2,"The pizza was okay. Not the best I've had. I prefer Biaggio's on Flamingo / Fort Apache. The chef there can make a MUCH better NY style pizza. The pizzeria @ Cosmo was over priced for the quality and lack of personality in the food. Biaggio's is a much better pick if youre going for italian - family owned, home made recipes, people that actually CARE if you like their food. You dont get that at a pizzeria in a casino. I dont care what you say...",0,msQe1u7Z_XuqjGoqhB0J5g,-0.10000000149011612
1,pomGBqfbxcqPv14c3XH-ZQ,0,2012-11-13 00:00:00.000000,0,dDl8zu1vWPdKGihJrwQbpw,5,I love this place! My fiance And I go here atleast once a week. The portions are huge! Food is amazing. I love their carne asada. They have great lunch specials... Leticia is super nice and cares about what you think of her restaurant. You have to try their cheese enchiladas too the sauce is different And amazing!!!,0,msQe1u7Z_XuqjGoqhB0J5g,0.699999988079071
2,jtQARsP6P-LbkyjbO1qNGg,1,2014-10-23 00:00:00.000000,1,LZp4UX5zK3e-c5ZGSeo3kA,1,Terrible. Dry corn bread. Rib tips were all fat and mushy and had no flavor. If you want bbq in this neighborhood go to john mulls roadkill grill. Trust me.,3,msQe1u7Z_XuqjGoqhB0J5g,-0.30000001192092896
3,elqbBhBfElMNSrjFqW3now,0,2011-02-25 00:00:00.000000,0,Er4NBWCmCD4nM8_p1GRdow,2,"Back in 2005-2007 this place was my FAVORITE thai place EVER. I'd go here ALLLLL the time. I never had any complaints. Once they started to get more known and got busy, their service started to suck and their portion sizes got cut in half. I have a huge problem with paying MORE for way less food. The last time I went there I had the Pork Pad se Ew and it tasted good, but I finished my plate and was still hungry. I used to know the manager here and she would greet me with a ""Hello Melissa, nice to see you again, diet coke & pad thai or pad se ew?"" Now a days, I know she still knows me but she disregards my presence. Also, I had asked her what was up with the new portion sizes and she had no answer for me. Great food but not worth the money. I havent been back in over a year because I refuse to pay $10-15 for dinner and still be hungry after. Sorry PinKaow, you are not what you used to be!!",2,msQe1u7Z_XuqjGoqhB0J5g,-0.20000000298023224
4,Ums3gaP2qM3W1XcA5r6SsQ,0,2014-09-05 00:00:00.000000,0,jsDu6QEJHbwP2Blom1PLCA,5,Delicious healthy food. The steak is amazing. Fish and pork are awesome too. Service is above and beyond. Not a bad thing to say about this place. Worth every penny!,0,msQe1u7Z_XuqjGoqhB0J5g,0.699999988079071
5,vgfcTvK81oD4r50NMjU2Ag,0,2011-02-25 00:00:00.000000,0,pfavA0hr3nyqO61oupj-lA,1,"This place sucks. The customer service is horrible. They dont serve food unless you order a pizza from a neighboring restaurant. Who does that? They dont control their crowd. Many times I've gone I've seen fights. The bartenders suck - I've almost got in a fight with one because she was a complete bitch. Refused to serve me a drink because she was ""busy"" celebrating her friends birthday BEHIND THE BAR. This place is ridiculous. I will NEVER go there again.. EVER.",2,msQe1u7Z_XuqjGoqhB0J5g,-0.6000000238418579
6,AxeQEz3-s9_1TyIo-G7UQw,0,2011-10-10 00:00:00.000000,0,brokEno2n7s4vrwmmUdr9w,5,"If you like Thai food, you have to try the original thai bbq. Their pad se ew is to DIE for. Their thai egg rolls are delicious. Basil beef will not let you down (its not on the menu anymore, you have to ask for it!) 

Yes, the building is not as fancy as some other places. Yes, i've batted a fly off my plate more than once. Yes, I do NOT go to the bathroom their because I dont even WANT to know what it looks like... 

BUT.. the thai food is the best in town. The service rocks. And you can get a $25 gift cert. on Restaurant.com for $2. Can you beat that? I think NOT.

This is the only place my husband and I go for anniversarys, date nights, birthdays.. anything!! I recommend it to everyone I know. If you KNOW good thai food, go here.",1,msQe1u7Z_XuqjGoqhB0J5g,0.20000000298023224
7,zdE82PiD6wquvjYLyhOJNA,0,2012-04-18 00:00:00.000000,1,kUZWBVZvhWuC8TWUg5AYyA,5,"AMAZING!!!

 I was referred here by a friend and at first thought ""Korean and Mexican?? WEIRD... i dont know""... but my husband and I were in the area and thought why not, lets try it... after my friend had nothing but great things to say about this place. We tried the chimichanga and it was ABSOLUTELY AMAZING.... We actually did 1/2 chicken 1/2 beef (have you EVER been to a place that will make a burrito half and half? i havent!) The meat has fantastic flavor. I'm not a beef girl but i'd order a whole plate of their beef - its that good. The chimichanga was HUGE enough for both of us to share it (and my husband also had a beef taco which also was delicious) and we were FULL and it was $11 total with drinks. YOu cant beat that.

THe service was great. The server was so nice and attentive- you could tell she was the owner. 

The only thing I'd change is their chips they serve. They were burnt, too thick and kind of bland but their salsa is great. And lets face it, i'm fat so I we ate two baskets anyway so they cant be that bad. lol

All in all, food was delicious, A LOT of food for cheap, great prices, great service great flavor. Hell even my burps taste delicious. Bahaha!",0,msQe1u7Z_XuqjGoqhB0J5g,0.30000001192092896
8,EAwh1OmG6t6p3nRaZOW_AA,0,2011-02-25 00:00:00.000000,0,wcqt0III88LEcm19IxFFyA,4,"Ribs = amazing
2 hour wait time= not so amazing, but understandable. 

This place would get 5 stars if they expanded their BBQ restaurant. Their ribs are AMAZING. You get SO much food for the price and it tastes sooo good. Plus, the two hour wait isnt always a bad thing because it gives you an excuse to drink and gamble while you wait!",0,msQe1u7Z_XuqjGoqhB0J5g,0.4000000059604645
9,atVh8viqTj-sqDJ35tAYVg,1,2012-11-09 00:00:00.000000,2,LWUtqzNthMM3vpWZIFBlPw,2,"Food is pretty good, not gonna lie. BUT you have to make sacrifices if you choose to eat there. It literally takes an hour to an hour and a half to deliver food. Seriously. EVERY SINGLE TIME. Doesnt matter if we order at 8am, 10am or 1pm. Never fails, they take F-O-R-E-V-E-R. If you dont get what you ordered or you are upset by them delivering your breakfast around LUNCH time, be ready to have the owner talk down to you and be a total bitch to you for i dont know, just wanting what you pay for?! 

Its over priced. But its decently tasteful food. Takes forever. Owners a witch. And i'm pretty sure that they continuing forget to pack my extra ranch just to piss me off. 

End Rant. 

PS- I've never gone in there to eat because i frankly, i'd rather tip the nice delivery driver then the ignorant imbeciles that work in the dining area. 

PPS- My hot chocolate today was cold. They should call it Cold Chocolate. Or start caring if their hot chocolate is hot. One of the two would be great!",1,msQe1u7Z_XuqjGoqhB0J5g,0.0
